link,name,description,
product/entity-nail-couture/pink-studio-brush,Pink Studio Sculpting Brush,"Professional quality #8, pure Kolinsky, flat oval brush that will inspire your hand and accelerate your art. Handmade and ergonomically designed for ultimate control and precise detail. Built-in cover prevents contamination and prolongs the life of the brush.",
product/entity-nail-couture/brush-wipes,Brush Wipes,Lint-free fabric that absorbs the perfect amount of liquid for uncompromising product consistency.,
product/entity-nail-couture/sculpting-forms,Sculpting Forms,"Innovative design with exclusive features that allow consistent \C\"" curves and customized fit for exact product placement.<br><br>",
"&bull; Also available in Clear for use with Entity One Gel""",,,
product/entity-nail-couture/perfect-curve-sculpting-tools,Perfect Curve Sculpting Tools,"Create the perfect \C\"" curve utilizing custom implements designed to mols consistent and uniform extension edge curvature every time you sculpt. Convenient carrying case houses six tools varying in size from 4mm - 9mm to accommodate the size of any nail.""",
product/entity-nail-couture/fuse-nail-adhesive,Fuse Nail Adhesive,"Revolutionary fast set, brush-on resin with unrivaled adhesion.",
product/entity-nail-couture/uv-top-coat,UV Top Coat,"For the ultimate defense and high-gloss shine, UV Top Coat will seal and protect acrylic nails from UV exposure and discoloration.",
product/entity-one-color-couture/led-uv-gel,LED/UV Gel Top Coat,"Entity<sup>&reg;</sup> Gel Top Coat is a non-cleanse formula, great for sealing and protecting gels, acrylics and wraps all white eliminating buffing with a high shine finish.",
product/entity-one-gel-technology/entity-one-gel-brush,Entity One Gel Brush,"The perfect #6 synthetic brush with decorative acrylic handle. <br>
<br>Featuring a flat, rounded square brush head that allows for easy pick up and precise product application.",
product/entity-nail-couture/clear-sculpting-forms,Clear Sculpting Forms,"Our original innovative design in clear with exclusive features that allow consistent \C\"" curves and customized fit for exact product placement. Complete transparency of the form allows UV light to penetrate through","ensuring thorough cure when sculpting gel enhancements."""
product/entity-nail-couture/natural-nail-prep,Natural Nail Prep,"Dehydrates and cleanses the surface of the natural nail plate preparing it for product application by removing dust, contaminants and oils. Specifically designed to control the growth of bacteria, improve adhesion, and reduce the potential for lifting.",
product/entity-nail-couture/nail-sculpting-powder-warm-pink,Entity<sup>&reg;</sup> Sculpting Powder Warm Pink,"Pink corrective powders designed to hide flaws and enhance the natural look of nails, creating the ultimate French manicure.",
product/entity-nail-couture/nail-sculpting-powder-cool-pink,Entity<sup>&reg;</sup> Sculpting Powder Cool Pink,"Pink corrective powders designed to hide flaws and enhance the natural look of nails, creating the ultimate French manicure.",
product/entity-nail-couture/natural-nail-prep,Natural Nail Prep,"Dehydrates and cleanses the surface of the natural nail plate preparing it for product application by removing dust, contaminants and oils. Specifically designed to control the growth of bacteria, improve adhesion, and reduce the potential for lifting.",
